id,label
0,1
1,0
2,1
3,0
4,1
5,1
6,0
7,0
8,1
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,0
24,0
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,0
42,0
43,1
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,1
52,0
53,1
54,1
55,1
56,1
57,0
58,1
59,1
60,0
61,0
62,1
63,0
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,1
79,0
80,1
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,1
89,0
90,0
91,0
92,1
93,0
94,1
95,0
96,0
97,0
98,1
99,0
100,0
101,1
102,0
103,1
104,0
105,1
106,1
107,0
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,1
122,1
123,1
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,1
132,1
133,1
134,1
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,1
143,1
144,1
145,1
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,1
154,1
155,0
156,0
157,0
158,0
159,1
160,1
161,0
162,0
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,0
173,0
174,1
175,1
176,0
177,0
178,0
179,1
180,0
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,1
189,0
190,1
191,0
192,0
193,1
194,1
195,1
196,0
197,1
198,0
199,1
200,1
201,0
202,1
203,1
204,0
205,0
206,1
207,1
208,0
209,1
210,1
211,0
212,0
213,1
214,0
215,1
216,1
217,0
218,0
219,0
220,0
221,0
222,0
223,1
224,1
225,1
226,0
227,1
228,1
229,0
230,0
231,1
232,1
233,0
234,0
235,1
236,1
237,0
238,1
239,0
240,1
241,0
242,0
243,1
244,1
245,1
246,0
247,1
248,1
249,0
250,1
251,1
252,1
253,1
254,1
255,0
256,1
257,0
258,0
259,1
260,0
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,1
285,0
286,1
287,0
288,0
289,0
290,1
291,1
292,0
293,1
294,0
295,1
296,1
297,0
298,1
299,0
300,1
301,1
302,1
303,1
304,0
305,0
306,0
307,0
308,1
309,0
310,0
311,0
312,0
313,1
314,1
315,0
316,1
317,0
318,1
319,0
320,1
321,0
322,1
323,0
324,1
325,1
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,1
334,1
335,0
336,0
337,0
338,1
339,0
340,1
341,0
342,1
343,0
344,1
345,0
346,1
347,1
348,1
349,1
350,0
351,0
352,0
353,0
354,1
355,1
356,1
357,1
358,0
359,0
360,0
361,1
362,0
363,0
364,1
365,0
366,1
367,1
368,0
369,1
370,0
371,1
372,1
373,0
374,1
375,1
376,1
377,0
378,0
379,1
380,1
381,0
382,0
383,0
384,1
385,1
386,0
387,0
388,0
389,1
390,0
391,1
392,0
393,1
394,0
395,1
396,0
397,1
398,1
399,1
400,0
401,1
402,0
403,0
404,1
405,1
406,0
407,0
408,1
409,0
410,1
411,0
412,0
413,1
414,0
415,1
416,1
417,0
418,0
419,1
420,0
421,0
422,0
423,0
424,1
425,0
426,1
427,1
428,0
429,1
430,0
431,1
432,1
433,0
434,1
435,1
436,1
437,1
438,0
439,0
440,1
441,1
442,1
443,0
444,1
445,0
446,0
447,0
448,1
449,0
450,0
451,1
452,0
453,0
454,1
455,1
456,1
457,0
458,1
459,0
460,0
461,0
462,0
463,1
464,1
465,0
466,1
467,1
468,0
469,1
470,0
471,1
472,1
473,1
474,1
475,0
476,0
477,1
478,0
479,0
480,1
481,1
482,1
483,1
484,0
485,1
486,0
487,1
488,1
489,0
490,0
491,1
492,0
493,0
494,1
495,0
496,0
497,0
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,0
506,0
507,1
508,0
509,0
510,0
511,0
512,0
513,1
514,0
515,1
516,0
517,0
518,1
519,1
520,1
521,0
522,0
523,0
524,0
525,1
526,0
527,1
528,1
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,1
540,1
541,1
542,0
543,0
544,0
545,1
546,1
547,1
548,1
549,0
550,1
551,0
552,1
553,0
554,1
555,1
556,0
557,0
558,1
559,1
560,0
561,1
562,0
563,1
564,1
565,1
566,1
567,1
568,0
569,1
570,1
571,0
572,1
573,0
574,1
575,0
576,1
577,0
578,0
579,1
580,1
581,1
582,0
583,0
584,1
585,0
586,1
587,0
588,0
589,0
590,0
591,0
592,1
593,1
594,0
595,0
596,0
597,0
598,0
599,0
600,1
601,0
602,1
603,0
604,1
605,1
606,1
607,0
608,0
609,0
610,0
611,0
612,0
613,1
614,0
615,1
616,1
617,0
618,1
619,0
620,1
621,1
622,0
623,1
624,1
625,0
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,0
634,0
635,1
636,1
637,1
638,0
639,1
640,0
641,1
642,0
643,0
644,1
645,0
646,0
647,1
648,0
649,1
650,0
651,1
652,1
653,0
654,1
655,0
656,1
657,1
658,1
659,1
660,1
661,0
662,1
663,0
664,1
665,0
666,0
667,0
668,1
669,0
670,1
671,0
672,1
673,1
674,1
675,1
676,1
677,0
678,1
679,0
680,0
681,0
682,1
683,0
684,1
685,1
686,0
687,1
688,0
689,0
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,0
698,0
699,1
700,0
701,1
702,1
703,1
704,1
705,1
706,0
707,0
708,0
709,1
710,1
711,1
712,0
713,1
714,0
715,1
716,0
717,1
718,0
719,0
720,0
721,0
722,1
723,0
724,0
725,1
726,0
727,0
728,1
729,0
730,0
731,1
732,1
733,1
734,1
735,0
736,0
737,1
738,0
739,1
740,1
741,0
742,1
743,1
744,1
745,1
746,0
747,1
748,1
749,1
750,0
751,0
752,1
753,0
754,1
755,0
756,1
757,1
758,0
759,1
760,1
761,1
762,0
763,0
764,1
765,0
766,1
767,0
768,1
769,0
770,0
771,0
772,0
773,1
774,0
775,1
776,1
777,0
778,0
779,1
780,0
781,1
782,1
783,1
784,0
785,0
786,1
787,0
788,1
789,1
790,1
791,0
792,0
793,1
794,1
795,1
796,1
797,0
798,0
799,0
800,1
801,1
802,1
803,0
804,1
805,0
806,1
807,0
808,1
809,1
810,1
811,1
812,0
813,1
814,0
815,0
816,1
817,0
818,0
819,0
820,0
821,1
822,1
823,1
824,1
825,0
826,1
827,0
828,0
829,0
830,0
831,1
832,0
833,1
834,1
835,1
836,1
837,0
838,0
839,0
840,1
841,0
842,0
843,1
844,1
845,1
846,0
847,1
848,1
849,1
850,0
851,1
852,1
853,1
854,1
855,0
856,0
857,0
858,0
859,1
860,0
861,0
862,0
863,0
864,0
865,1
866,0
867,1
868,1
869,1
870,1
871,1
872,0
873,1
874,0
875,1
876,0
877,0
878,1
879,0
880,1
881,0
882,1
883,0
884,1
885,0
886,1
887,1
888,0
889,0
890,0
891,0
892,1
893,1
894,0
895,0
896,1
897,1
898,0
899,1
900,1
901,1
902,1
903,1
904,0
905,1
906,1
907,1
908,0
909,1
910,0
911,1
912,0
913,1
914,0
915,0
916,0
917,1
918,1
919,0
920,0
921,0
922,1
923,0
924,0
925,1
926,1
927,1
928,0
929,1
930,1
931,1
932,1
933,1
934,0
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,0
943,0
944,0
945,1
946,0
947,1
948,0
949,0
950,0
951,0
952,0
953,1
954,1
955,0
956,0
957,1
958,1
959,0
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,0
970,1
971,1
972,1
973,0
974,1
975,0
976,0
977,1
978,1
979,0
980,0
981,1
982,0
983,0
984,1
985,1
986,1
987,0
988,0
989,0
990,1
991,0
992,0
993,1
994,1
995,1
996,1
997,1
998,0
999,0
1000,0
1001,1
1002,0
1003,1
1004,1
1005,0
1006,1
1007,1
1008,0
1009,1
1010,0
1011,1
1012,1
1013,0
1014,1
1015,0
1016,1
1017,1
1018,0
1019,1
1020,0
1021,1
1022,1
1023,1
1024,0
1025,1
1026,0
1027,1
1028,1
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1
1038,0
1039,0
1040,1
1041,0
1042,1
1043,1
1044,1
1045,0
1046,0
1047,1
1048,1
1049,1
1050,0
1051,0
1052,1
1053,1
1054,1
1055,1
1056,1
1057,0
1058,1
1059,0
1060,0
1061,0
1062,0
1063,1
1064,0
1065,0
1066,0
1067,1
1068,1
1069,1
1070,0
1071,1
1072,1
1073,0
1074,1
1075,1
1076,0
1077,0
1078,1
1079,0
1080,1
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,1
1089,1
1090,1
1091,0
1092,0
1093,0
1094,1
1095,0
1096,0
1097,1
1098,1
1099,1
1100,1
1101,0
1102,1
1103,1
1104,1
1105,0
1106,0
1107,0
1108,0
1109,1
1110,0
1111,0
1112,0
1113,1
1114,0
1115,1
1116,1
1117,1
1118,1
1119,1
1120,0
1121,1
1122,0
1123,1
1124,0
1125,0
1126,0
1127,0
1128,1
1129,0
1130,0
1131,0
1132,0
1133,0
1134,1
1135,1
1136,1
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,1
1144,0
1145,1
1146,1
1147,1
1148,0
1149,1
1150,0
1151,1
1152,1
1153,1
1154,1
1155,0
1156,0
1157,1
1158,1
1159,0
1160,1
1161,0
1162,0
1163,1
1164,0
1165,1
1166,1
1167,0
1168,0
1169,1
1170,1
1171,1
1172,0
1173,0
1174,0
1175,1
1176,0
1177,1
1178,0
1179,0
1180,1
1181,1
1182,1
1183,1
1184,1
1185,0
1186,1
1187,0
1188,0
1189,0
1190,1
1191,1
1192,1
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,1
1200,0
1201,0
1202,0
1203,1
1204,1
1205,1
1206,0
1207,1
1208,0
1209,0
1210,0
1211,0
1212,1
1213,1
1214,0
1215,1
1216,1
1217,0
1218,1
1219,1
1220,0
1221,1
1222,1
1223,0
1224,0
1225,1
1226,1
1227,0
1228,0
1229,1
1230,1
